Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Soph. Aj. 1245,λελειμ-,λελημμένοι,Pearson,n.d.,Laur. 32.40 (H),
Soph. Aj. 1274,οὗτος,ἐντός,Markland,s.xviii med.,a,
Soph. Aj. 1283,αὐτὸς,αὑ-,G. Wolff,1858–65,Vindob. suppl. gr. 71 (Xs),
Soph. Aj. 1368,σόν,σόν γ',Porson,n.d.,Paris. gr. 2735 (C),
Soph. Aj. 1371,τῆσ-,τήνδε,F. H. Bothe,n.d.,Paris. gr. 2735 (C),
Soph. Aj. 1379,-ον,ὅσων,Porson,n.d.,Vat. gr. 1333 (Zc),s.l.
Soph. Ant. 18,-ειν,ᾔδη,Johannes Pierson,1759,Zcac,Lexicon Atticum s.v. ᾔδη ('Quis non videt')
Soph. Ant. 57,ἐπ ̓ ἀλλήλοιν,ἐπαλλήλοιν,Hermann,n.d.,KSUZf,
Soph. Ant. 70,ἐμοῦ,ἐμοί,Meineke,1861,Laur. 31.10 (K),
Soph. Ant. 76,σοί,σύ,Valckenaer,1746,Vat. gr. 57,s.l.
Soph. Ant. 108,ὀξυτόρῳ/-τέρῳ,-πόρῳ,Samuel Musgrave,1800,Urb. gr. 141 (S),
Soph. Ant. 202,ἄγ-,ἔχειν,Alexandros Pallis,1885,Laur. 31.10 (K),
Soph. Ant. 211,Κρέον vel Κρέων,ποεῖν,F. J. Martin,n.d.,Laur. 31.10 (K),marg.
Soph. Ant. 218,τοῦτ ̓,τοῦδ ̓,Brunck,1786,Uac,
Soph. Ant. 287,νόμ-,δόμους,Henrik van Herwerden,n.d.,Vat. gr. 57 (Zh),
Soph. Ant. 314,-ωσμέ-,σεσωμένους,Wecklein,n.d.,Marc. gr. 470 (Ta),
Soph. Ant. 342,κουφονέων,κουφονόων,Johannes Pierson,2009,Λac et S,GRBS
Soph. Ant. 365,σοφόν,δεινόν,Heimsoeth,1865,t,
Soph. Ant. 384,om.,ἡ,Markland,s.xviii med.,Palat. gr. 287 (Zo),
Soph. Ant. 390,ποθ ̓,γ ̓ ἂν,Erfurdt,1802–25,t,
Soph. Ant. 396,κλῆρος,κλῆρος δ ̓,G. Müller,1967,Paris. gr. 2884 (Ζf),
Soph. Ant. 404,ἴδον,ἰδὼν,Brunck,1786,Paris. gr. 2886,i.e. Aristobulus Apostolides
Soph. Ant. 406,εὐρέθη,ᾑρέθη,Markland,s.xviii med.,Laur. 32. 9 (L),fort. pc legit sch. ut videtur
Soph. Ant. 410,εὖ,αὖ,Reiske,1753,Marc. gr. 468 (V),
Soph. Ant. 422,ἀπαλλαγέντος,-έντες,G. H. Schaefer,n.d.,Vat. gr. 2291 (R),S in linea
Soph. Ant. 444,ἧ,οἷ,Meineke,1861,Palat. gr. 287 (Zo),
Soph. Ant. 480,τότ ̓,τόδ ̓,Sehrwald,n.d.,Laur. 31.10 (K),
Soph. Ant. 567,μέν σοι,μέντοι,Brunck,1786,Urb. gr. 141 (S),
Soph. Ant. 573,γε,με,Frederick H. M. Blaydes,n.d.,Zf in linea,
Soph. Ant. 592,βρέμουσι δ',βρέμουσιν,Johannes Pierson,2009,Palat. gr. 287 (Zo),GRBS
Soph. Ant. 599,ὑπὲρ,ὅπερ,Markland,s.xviii med.,Laur. 31.10 (K),s.l. (ex sch.)
Soph. Ant. 687,χἀτέρῳ,χἀτέρᾳ,Samuel Musgrave,1800,Laur. 31.10 (K),in linea
Soph. Ant. 687,χἀτέρῳ,χἀτέρως,Hermann,n.d.,Vat. gr. 2291 (R),
Soph. Ant. 695,ἀπ’,ἐπ’,Johannes Pierson,2009,Paris. gr. 2712 (A),GRBS
Soph. Ant. 789,ἐπ’,ἀπ’,F. W. Schmidt,,Palat. gr. 287 (Zo),
Soph. Ant. 825,-ῳ,Σιπύλου,Alexandros Pallis,1885,Vat. gr. 57 (Zh),s.l.
Soph. Ant. 828,-ῳ,ὄμβρος,Gleditsch,n.d.,Vat. gr. 1333 (Zc),s.l.
Soph. Ant. 831,θ' … -αύστοις,δ' … παγκλαύτοις,F. H. Bothe,n.d.,KS,
Soph. Ant. 836,-ῃ/-ῳ/-αν,φθιμένᾳ,Johannes Pierson,2009,Laur. 32. 9 (L) et a,GRBS
Soph. Ant. 848,ἔργμα,ἕρμα,Hermann,n.d.,Urb. gr. 141 (S),
Soph. Ant. 851,οὔτ ̓ ἐν,οὔτε,Erfurdt,1802–25,Urb. gr. 141 (S),
Soph. Ant. 859,οἶκτον,οἶτον,Brunck,1786,Kpc,
Soph. Ant. 938,πατρογενεῖς,προγενεῖς,Valckenaer,pre-1775,Laur. 32. 9 (L),
Soph. Ant. 989,-ες,βλέποντε,Moriz Schmidt,1871–80,LpcKa,
Soph. Ant. 1035,δ ̓,del.,Brunck,1786,Laur. 31.1,a.c.
Soph. Ant. 1069,κατῴκ-,κατοικίσας,Henrik van Herwerden,n.d.,Laur. 31.10 (K),
Soph. Ant. 1081,-γνι-,καθήγισαν,Burton,n.d.,VacZc,
Soph. Ant. 1089,-ωτέραν,ἡσυχαιτέραν,G. H. Schaefer,n.d.,Zg et Laur. 31.1,
Soph. Ant. 1098,λαβ-/λακ-,λαχεῖν,Heimsoeth,1865,Paris. gr. 2884 (Ζf),
Soph. Ant. 1196,ἑσπ-,εἱπόμην,Frederick H. M. Blaydes,n.d.,Vat. gr. 2291 (R),
Soph. Ant. 1236,μέσσον/μέσον/ἐς,ἐν,Wecklein,n.d.,SZot,
Soph. Ant. 1237,παρθένῳ,-ον,Brunck,1786–9,Paris. gr. 2884 (Ζf),
Soph. Ant. 1238,ἐκβάλλει,ἐμβάλλει,Markland,s.xviii med.,Berol. Phillips 1588,
Soph. Ant. 1289,νέον λόγον,νέον,August Seidler,n.d.,codd. recc. Tricliniani (teste Dawe),
Soph. Ant. 1337,προσεύχου,κατ-,Benedict,n.d.,Vat. gr. 1333 (Zc),
Soph. Ant. 1337–8,Ἄγγελος,choro trib.,Philipp Buttmann,1822?,Ambr. C. 24 sup. et Monac. gr. 500,
Soph. Ant. 1350,μηδὲν,μηδέν’,Markland,s.xviii med.,MSS,
Soph. El. 21,ξυνάπτετον,-έον,Jonathan Toup,s.xviii med.,Paris. gr. 2884 (Ζf),
Soph. El. 35,τοιαῦθ ̓ ὁ,τοιαῦτα,Blomfield,n.d.,Voss. gr. Q. 6 (O),s.l.
Soph. El. 87,ἰσόμοιρ ̓,-μοιρος,Porson,n.d.,p,
Soph. El. 139,-οις,γόοισιν,Johannes Livineius,1581–2,Marc. gr. 468 (V),s.l.
Soph. El. 160,ὄλβιος,-ον,Brunck,1786,Hac,
Soph. El. 187,τοκ-,τεκέων,Meineke,n.d.,Vindob. phil. gr. 281,
Soph. El. 219,τὰ δὲ,τάδε,John Jackson,1955,pD,
Soph. El. 305,μου,μοι,Thomas Magister,n.d.,Ambros. E. 1035 sup. (Wa),
Soph. El. 436,-θα,ἔνθεν,Meineke,n.d.,t,
Soph. El. 483,om.,σ',Johann v. G. Fröhlich,1815,Ambros. E. 1035 sup. (Wa),
Soph. El. 492,ἐπέβα,-αν,Frederick H. M. Blaydes,n.d.,Vat. gr. 2291 (R),
Soph. El. 496,ἡμῖν,ὑμῖν,Purgold,n.d.,pt,
Soph. El. 513,τις,τι,Hermann,n.d.,Vat. gr. 2291 (R),
Soph. El. 583,-εις,τυγχάνοις,Turnebus,1552–3,Vindob. suppl. gr. 71 (Xs),
Soph. El. 593,δ',γ',J. A. Hartung,1850–1,Paris. gr. 2735 (C),
Soph. El. 653,εὐημεροῦσαν,-σα,Erfurdt,1802–25,Laur. 32.40 (H),
Soph. El. 653,τέκνων,-οις,Benedict,n.d.,Vindob. phil. gr. 161 (Xr),s.l.
Soph. El. 689,τοιοῦδ',τοιάδ',Brunck,1786,Marc. gr. 616 (Zr),
Soph. El. 710,κλήροις,-ους,Eduard Wunder,1831,Paris. gr. 2735 (C),
Soph. El. 754,-έθοντες,κατασχεθόντες,Elmsley,,Nac,
Soph. El. 758,δειλαίας σποδοῦ,-αν -όν,Friedrich Neue,1831,p,s.l.
Soph. El. 762,οἵπερ,ὥσπερ,J. A. Hartung,1850–1,Laur. Conv. Soppr. 41,
Soph. El. 819,ἄφιλος,-ον,Monk,n.d.,Vindob. phil. gr. 281,
Soph. El. 859,-ᾶν,εὐπατρίδων,Friedrich Neue,1831,Sud. s.v. παραγάγῃς,
Soph. El. 876,οὐκ,οὐκέτ ̓,B. Thiersch,n.d.,p,
Soph. El. 941,ἔσθ ̓ ὅδ ̓,ἐς τόδ ̓,Haupt,n.d.,CHV,
Soph. El. 952,,γ’,Johannes Pierson,2009,Paris. gr. 2820,GRBS
Soph. El. 957,σε … μ',με … σ',Frederick H. M. Blaydes,n.d.,p,
Soph. El. 960,-ηι,ἐστερημένην,Elmsley,,O1pc,
Soph. El. 995,ποτ' ἐμβλέψασα,ποτε βλέψασα,Henrik van Herwerden,1868,P.Oxy IV 693 et Marc. gr. 616 (Zr),p. 12
Soph. El. 998,ἔλαττον,ἔλαϲϲον,Brunck,1786,P.Oxy IV 693,
Soph. El. 1029,μάθῃς,πάθῃς,Johannes Pierson,2009,Palat. gr. 40 (P) et a,GRBS
Soph. El. 1044,,ποήσεις,Valckenaer,pre-1775,MSS,
Soph. El. 1139,om.,σ’,Markland,s.xviii med.,p,
Soph. El. 1226,ἔχεις,ἔχοις,Valckenaer,pre-1775,Laur. 32. 9 (L),
Soph. El. 1246,ἐνέβαλες,ὑπ-,Frederick H. M. Blaydes,n.d.,Vat. gr. 40,
Soph. El. 1275,-ύστον-,πολύπονον,Hermann,n.d.,Bos. q. 7 (J),
Soph. El. 1281,φίλαι,φίλ ̓,Eduard Wunder,n.d.,Paris. gr. 2735 (C),
Soph. El. 1458,πύλας,πέλας,Reiske,1753,VXs,
Soph. El. 1471,φίλως,-ους,Purgold,n.d.,Vat. gr. 904 (Pa),
Soph. OC 33,-ων,ἀκούω,Lindner,n.d.,QacRt,
Soph. OC 48,-ῶ/-ᾶν,δρᾷς,L. Peters,n.d.,Palat. gr. 287 (Zo),
Soph. OC 52,τίς δ ̓,τίς,Frederick H. M. Blaydes,n.d.,rZo,
Soph. OC 72,μ-,σμικρὰ,Elmsley,n.d.,UY,
Soph. OC 180,προσβίβαζε,προβίβαζε,Valckenaer,1743–6,r,
Soph. OC 205,τίνα,τίν ̓ ἂν,Vauvilliers,1781,P.Oxy. LXXIX 5195,
Soph. OC 213,γεγωνῶ,γεγώνω,Reiske,1743,Laur. 32. 9 (L) et Vat. gr. 2291 (R),
Soph. OC 278,μωροὺς/μοίραις/μοῖραν π.,μώρους ποιεῖσθε,Frederick H. M. Blaydes,n.d.,KR,
Soph. OC 320,προϲτείχουϲα,προϲϲ-,Dindorf,n.d.,Laur. 31.10 (K),s.l.
Soph. OC 383,-οι,ὅπῃ,Karl Halm,n.d.,Palat. gr. 287 (Zo),
Soph. OC 386,ὥραν,ὤραν,Turnebus,n.d.,l,
Soph. OC 391,ὑπ ̓,γ ̓,Eduard Wunder,,r,
Soph. OC 392,φασ-,φησὶ,Bergk,,r,
Soph. OC 395,φλαῦρον,φαῦλον,Frederick H. M. Blaydes,n.d.,ZoTa,
Soph. OC 534,σοίτ’ ἄρ’/σαίτ’ ἄρ’,αὔτ’ ἄρ’,Markland,s.xviii med.,z,
Soph. OC 566,σ’,del.,Johannes Pierson,2009,Laur. 31.10 (K) et a,GRBS
Soph. OC 702,νεαρὸς,νέος,Elmsley,n.d.,t,
Soph. OC 793 schol.,-λείᾳ,Ἰφικλεῖ,Joannes Meursius,1619,Laur. 32.9 (L),
Soph. OC 818,σοι/σε,σου,Frederick H. M. Blaydes,n.d.,r,
Soph. OC 942,-οὺς,αὐτοῖς,Scaliger,n.d.,Kr,
Soph. OC 946,-σιοι τέκνων,ἀνοσιώτατοι,Hense,n.d.,Kr,
Soph. OC 1012,om.,θ’,Markland,s.xviii med.,Paris. suppl. gr. 2886,
Soph. OC 1112,-δεξιὸν/ἀμφὶ δεξιὸν,ἀμφιδέξιον,Mudge,n.d.,r,
Soph. OC 1162,οὐκ,οὐδ ̓,Frederick H. M. Blaydes,n.d.,r,
Soph. OC 1220,-κορ-/ἔπι κορος,ἐπίκουρος,Hermann,n.d.,r,
Soph. OC 1262,φορεῖ,φέρει,Meineke,n.d.,Marc. gr. 616 (Zr),teste Pearson
Soph. OC 1340,-σῃς/-σεις,ξυμπαραστήσῃ,Reiske,1743,a,
Soph. OC 1341,χρόνῳ,πόνῳ,P. P. Dobree,n.d.,a s.l.,
Soph. OC 1345,σθένω,θέλω,Markland,s.xviii med.,r,
Soph. OC 1492,-αν,ἄκρον,Vauvilliers,n.d.,Qγρ,
Soph. OC 1515,στρέψαντα,στράψαντα,Reiske,1743,Laur. 31.10 (K),
Soph. OC 1596,κἀπὸ,κἀπὶ,Willem Canter,1579,Laur. 31.10 (K),
Soph. OC 1619,βίοτον/βίωτον,τοῦ βίου,Johann v. G. Fröhlich,n.d.,Sud. s.v. τητᾶσθαι,
Soph. OC 1682,φαινόμεναι,φερόμεναι,Hermann,n.d.,t,
Soph. OC 1728,ἔγωγε,ἐγώ,Nauck,n.d.,Palat. gr. 287 (Zo),
Soph. OC 1735,ποῖ,πῇ,Karl Halm,n.d.,Laur. 31.10 (K),
Soph. OC 1736,τλάμονων,τλάμον ̓,Hermann,n.d.,r,
Soph. OC 1736,ἕξω/ἔξω,ἄξω,Frederick H. M. Blaydes,n.d.,Laur. 31.10 (K),
Soph. OT 75,χρόνου,-ον,Purgold,n.d.,Marc. gr. 468 (V),
Soph. OT 79,προσστείχοντα,προστ-,Erfurdt,1802–25,Vat. gr. 2291 (R),
Soph. OT 188,ὧν,τῶν,B. H. Kennedy,1885,PSI XI 1192,τω]ν
Soph. OT 222,ὕστερος,-ον,Frederick H. M. Blaydes,n.d.,Marc. gr. 616 (Zr),
Soph. OT 222,ἀστὸς,αὐτὸς,Elmsley,n.d.,pa,
Soph. OT 258,ἐπικυρῶ,ἐπεὶ κυρῶ,Burton,n.d.,Laur. Conv. Soppr. 66,
Soph. OT 281,ἂν,ἃν,Henri Estienne,,Vindob. phil. gr. 161 (Xr),
Soph. OT 290,παλαί ̓,μάται ̓,Halbertsma,n.d.,WaZg,
Soph. OT 324,φών-,φρόνημ ̓,Naber,n.d.,r,
Soph. OT 360,λέγειν,λόγων,Brunck,1786,Laur. 32.9 (L),s.l. teste West
Soph. OT 430,οὐ,αὖ,G. Wolff,1858–65,P.Oxy. I 22,in linea
Soph. OT 433,ᾔδει(ν),ᾔδη,Dawes,s.xviii med.,P.Oxy. XVIII 2180,in margine
Soph. OT 446,ἀλγύναις,-οις,Elmsley,n.d.,Matrit. gr. 4677 (N),
Soph. OT 458,αὐτὸς,αὑτὸς,Markland,s.xviii med.,Vindob. suppl. gr. 71 (Xs),pc
Soph. OT 464,εἶπε,εἶδε,Gitlbauer,n.d.,KG,
Soph. OT 475,Παρνασοῦ,-ασσοῦ,Hermann,n.d.,Vindob. phil. gr. 161 (Xr),
Soph. OT 523,om.,δ',Moriz Schmidt,1871–80,P.Oxy. XVIII 2180,in linea (Barrett apud OCT)
Soph. OT 525,τοῦ πρὸς,τοὔπος,Heimsoeth,1865,P.Oxy. XVIII 2180,
Soph. OT 535,ἐναργὴς,-ῶς,Frederick H. M. Blaydes,n.d.,Paris. gr. 2735 (C),
Soph. OT 570,τοσόνδε,τὸ σὸν δέ,Brunck,1786,LacKp,
Soph. OT 630,οὐχὶ,οὐ,Brunck,1786,DZr,
Soph. OT 658,ζητῇς,χρῄζῃς,Meineke,n.d.,r,
Soph. OT 685,προπονουμένῳ/προπονουμένας,προνοουμένῳ,Frederick H. M. Blaydes,n.d.,Marc. gr. 468 (V),
Soph. OT 694,τ',γ',Turnebus,1552–3,p,
Soph. OT 733 schol.,κέλευθον,κελεύθων,Scaliger,post-1568,GMR,
Soph. OT 766,τοῦτ ̓,τοῦ δ ̓,Frederick H. M. Blaydes,n.d.,Vpc,Herwerden?
Soph. OT 778,habent,del.,Valckenaer,pre-1775,P.Oxy. XI 1369,
Soph. OT 791,χρεῖ' ἦ vel sim.,χρείη,Dawes,n.d.,Pa,pc
Soph. OT 822,ὧνπερ,αἷνπερ,Frederick H. M. Blaydes,n.d.,Paris. gr. 2735 (C),
Soph. OT 829,ἀνορθοίη,ἂν ὀρθοίη,G. H. Schaefer,n.d.,p,
Soph. OT 870,μήν ποτε,μήποτε,Elmsley,n.d.,Paris. gr. 2884,
Soph. OT 883,ὑπέροπτα,-οπλα,P. P. Dobree,n.d.,Cac,
Soph. OT 1001,τε,γε,Hermann,n.d.,p,
Soph. OT 1031,ἐν καιροῖς/κακοῖς,ἐν χεροῖν,Moriz Schmidt,n.d.,Fγρ,W. W. Walker?
Soph. OT 1078,αὐτὴ,αὕτη,Hermann,n.d.,p,
Soph. OT 1108,-νιάδων,Ἑλικωνίδων,Porson,n.d.,Aac,
Soph. OT 1142,νῦν,νυν,Frederick H. M. Blaydes,n.d.,t,
Soph. OT 1153,μ',γ',Frederick H. M. Blaydes,n.d.,Palat. gr. 40 (P),
Soph. OT 1172,κάλλιστ',μάλιστ',Nauck,n.d.,p,
Soph. OT 1197,-σας τ.,ἐκράτησε τοῦ,Hermann,n.d.,Ambros. L. 39 sup.,
Soph. OT 1217,om.,alterum σε,Eduard Wunder,1824,Voss. gr. Q. 6 (O),
Soph. OT 1232,ἤδειμεν,ἤδεμεν,Elmsley,n.d.,Vat. gr. 1333 (Zc),
Soph. OT 1245,κάλει,καλεῖ,Johannes Pierson,2009,Ambros. G 56 sup.,GRBS
Soph. OT 1255,φοιτᾷ,φοίτα,Frederick H. M. Blaydes,n.d.,p,
Soph. OT 1264,αἰώραις,αἰώραισιν,Henrik van Herwerden,1866,Ambros. G 56 sup.,
Soph. OT 1294,δείξει,δόξει,Reiske,1753,Vindob. phil. gr. 161 (Xr),
Soph. OT 1311,ἐξήλου,-ἤλλου,Hermann,n.d.,Paris. gr. 2735 (C),
Soph. OT 1312,ἐς,ὡς,Henrik van Herwerden,1866,Laur. 32.40 (H),
Soph. OT 1320,φον-,φρονεῖν,Bergk,n.d.,a,
Soph. OT 1453,ζῶντε,-τι,Johannes Pierson,2009,Vat. gr. 904 (Pa),GRBS
Soph. OT 1466,αἷν,ταῖν,Benjamin Heath,1762,Marc. gr. 616 (Zr),
Soph. OT 1474,ἐγγόνοιν,ἐκγόνοιν,Valckenaer,1743–6,Paris. gr. 2787 (Zn) et Marc. gr. 472 (Jebb),
Soph. OT 1477,ἣ σ' εἶχεν κτλ.,ἥ σ' ἔχει,Eduard Wunder,1831,Laur. 32.2 (Zg),
Soph. Phil. 30,κυρῇ,κυρεῖ,G. H. Schaefer,n.d.,Gac,
Soph. Phil. 81,κτῆμα,χρῆμα,Tournier,n.d.,Laur. 31.10 (K),
Soph. Phil. 144,ἴ. γ.,γὰρ ἴσως,Henrik van Herwerden,,GS,
Soph. Phil. 256,που,πω,Markland,s.xviii med.,Marc. gr. 468 (V),
Soph. Phil. 266,τῆσδ ̓,τῆς,Jean Dorat,n.d.,Zopc,
Soph. Phil. 272,-ῳ,πέτρᾳ,Frederick H. M. Blaydes,n.d.,Paris. suppl. gr. 109 (Q),
Soph. Phil. 306,ἀνθρώπων,-ῷ,Frederick H. M. Blaydes,n.d.,Paris. gr. 2712 (A),v.l.
Soph. Phil. 349,ἐπέσχον,ἔπασχ-,G. C. W. Schneider,1825,AUY,
Soph. Phil. 361,πρὸς φίλους,προσφιλῶς,F. H. Bothe,n.d.,Vat. gr. 2291 (R),
Soph. Phil. 481,-η,ὅποι,Gilbert Wakefield,1794,KZo,
Soph. Phil. 481,-η,ὅπου,Elmsley,,Paris. suppl. gr. 109 (Q),
Soph. Phil. 496,πέμψαντα,πλεύσαντα,Frederick H. M. Blaydes,n.d.,Sγρ,
Soph. Phil. 496,-οις,δόμους,Philipp Buttmann,1822,Paris. suppl. gr. 109 (Q),p. 110
Soph. Phil. 510, ̓Ατρείδας, ̓Ατρείδας ἔχθεις,Bergk,n.d.,Vat. gr. 2291 (R),Hermann?
Soph. Phil. 524,γέ μ ̓,γ ̓ ἔμ ̓,Brunck,1786,Urb. gr. 141 (S),
Soph. Phil. 588,μηδέν',μηδὲν,Linwood,n.d.,Palat. gr. 287 (Zo),
Soph. Phil. 597,δράσειν,πράσσειν,J. H. Wright,n.d.,Paris. suppl. gr. 109 (Q),
Soph. Phil. 600,τ',γ',Benjamin Heath,1762,Laur. 32.2 (Zg),
Soph. Phil. 612,πέρσοιεν,πέρσωσιν,Frederick H. M. Blaydes,n.d.,Palat. gr. 287 (Zo),
Soph. Phil. 614,ἤκουσεν,ἤκουσ’,Markland,s.xviii med.,z,
Soph. Phil. 614,ἤκουσεν,ἤκουσ’,Valckenaer,pre-1775,z,
Soph. Phil. 728,-ει,πλάθη,Bergk,n.d.,r,
Soph. Phil. 737,ἰὼ θ. Νε. τ. τ. θ. οὕτως α. κ.,ὦ θ. Νε. τί τοὺς θεοὺς α. κ.,Dindorf,,Laur. 32.2 (Zg),
Soph. Phil. 760,,Philoctetae trib.,Lindner,n.d.,VTa,
Soph. Phil. 830,ὦναξ,ἄναξ,Wilamowitz,n.d.,VTa,
Soph. Phil. 894,μ ̓ ἔθος,μέ πως,Frederick H. M. Blaydes,n.d.,Palat. gr. 287 (Zo),
Soph. Phil. 896,λόγῳ,λόγων,F. L. Abresch,1741,Harl. 5743,Miscell. Obs. Nov. III p. 23
Soph. Phil. 928,εἰργάσω,εἴργασαι,Elmsley,n.d.,Palat. gr. 287 (Zo),
Soph. Phil. 1007,-α,οἷον,Frederick H. M. Blaydes,n.d.,Laur. 32.2 (Zg),
Soph. Phil. 1007,ὥς,ὅς,Gilbert Wakefield,1794,r,
Soph. Phil. 1016,ἔμ ̓,σύ μ ̓,Nauck,,Paris. suppl. gr. 109 (Q),
Soph. Phil. 1028,ἐξέβαλον/ἔκβαλον/ἐκβάλλον,ἔβαλον,Johannes Pierson,2009,LaZo,GRBS
Soph. Phil. 1032,ἐμοῦ,ὁμοῦ,Gernhard,n.d.,Gγρ,
Soph. Phil. 1079,ὁρμώμεθον,-μεθα,Elmsley,n.d.,Urb. gr. 141 (S),
Soph. Phil. 1095,οὐκ,κοὐκ,Erfurdt,n.d.,SQ,Wecklein?
Soph. Phil. 1138,ὅσ ̓,ὅς,F. H. Bothe,n.d.,Marc. gr. 468 (V),
Soph. Phil. 1144,ἐφημοσύνᾳ/εὐφ-,ὑφ-,Hermann,n.d.,Marc. gr. 616 (Zr),
Soph. Phil. 1238,ταῦτα,ταὐτὰ,Markland,s.xviii med.,LGRS,
Soph. Phil. 1243,τοῖσδ ̓,τοῖς,Philipp Buttmann,1822,z,
Soph. Phil. 1289,-ιστον,ὑψίστου,Gilbert Wakefield,1794,VTa,
Soph. Phil. 1304,τοῦτ ̓,τόδ ̓,Brunck,1786,GRZo,
Soph. Phil. 1330,ὡς,ἕως,Denys Lambin,n.d.,Paris. suppl. gr. 109 (Q),
Soph. Phil. 1362,δ',γ',Frederick H. M. Blaydes,n.d.,VQ,
Soph. Phil. 1399,πέμπειν,πέμψειν,Frederick H. M. Blaydes,n.d.,Laur. Conv. Soppr. 152 (G),
Soph. Phil. 1429,ἐκβαλὼν,ἐκλαβὼν,Turnebus,n.d.,Zopc,
Soph. T 1.9,σαφίλου/σοφίλου,Ἀναίους,Anton Westermann,1845,Laur. 28.25 (F),
Soph. T 1.16,(ἐν) τῇ,ἐν,Frederick H. M. Blaydes,1859,Vindob. phil. gr. 281 (Wc),
Soph. T 1.20 = fr. 965.2,ὀδυσσ-/ὠδυσσ-,ὠδύσαντο,G. H. Schaefer,1810,Paris. gr. 2712 (A),
